"date","Hits"
2015-09-04,2
2015-09-05,2
2015-09-06,4
2015-09-07,43
2015-09-08,18
2015-09-09,18
2015-09-10,41
2015-09-11,25
2015-09-12,4
2015-09-13,13
2015-09-14,48
2015-09-15,22
2015-09-16,18
2015-09-17,40
2015-09-18,29
2015-09-19,18
2015-09-20,32
2015-09-21,47
2015-09-22,29
2015-09-23,27
2015-09-24,58
2015-09-25,33
2015-09-26,15
2015-09-27,24
2015-09-28,45
2015-09-29,24
2015-09-30,21
2015-10-01,53
2015-10-02,26
2015-10-03,9
2015-10-04,13
2015-10-05,44
2015-10-06,12
2015-10-07,26
2015-10-08,48
2015-10-09,7
2015-10-10,10
2015-10-11,13
2015-10-12,46
2015-10-13,17
2015-10-14,21
2015-10-15,47
2015-10-16,22
2015-10-17,8
2015-10-18,17
2015-10-19,29
2015-10-20,19
2015-10-21,24
2015-10-22,35
2015-10-23,28
2015-10-24,15
2015-10-25,36
2015-10-26,19
2015-10-27,18
2015-10-28,22
2015-10-29,14
2015-10-30,21
2015-10-31,15
2015-11-01,19
2015-11-02,22
2015-11-03,12
2015-11-04,22
2015-11-05,69
2015-11-06,9
